iter	Logloss	CrossEntropy	Accuracy
0	0.6042262127	0.6042262127	0.7307692308
1	0.5239882592	0.5239882592	0.8174507311
2	0.4627514787	0.4627514787	0.8578989193
3	0.4310121605	0.4310121605	0.8740464081
4	0.4045973682	0.4045973682	0.8831691036
5	0.3617143521	0.3617143521	0.9027018436
6	0.3353869962	0.3353869962	0.9120311507
7	0.3220226704	0.3220226704	0.9164494596
8	0.3009401392	0.3009401392	0.9228385251
9	0.2890658934	0.2890658934	0.9259218055
10	0.2804727395	0.2804727395	0.9282581055
11	0.2641370452	0.2641370452	0.9311983471
12	0.2513008639	0.2513008639	0.9330101716
13	0.2424702149	0.2424702149	0.9355371901
14	0.2350336321	0.2350336321	0.9385251113
15	0.227849841	0.227849841	0.9398601399
16	0.2148446671	0.2148446671	0.943006993
17	0.2097256391	0.2097256391	0.9437857597
18	0.206521648	0.206521648	0.9450413223
19	0.2039300476	0.2039300476	0.9460902734
20	0.1968430722	0.1968430722	0.9480610299
21	0.1918513405	0.1918513405	0.9490781945
22	0.1853070505	0.1853070505	0.9501907184
23	0.1818294995	0.1818294995	0.951446281
24	0.1722358697	0.1722358697	0.9535282899
25	0.1687009374	0.1687009374	0.9542434838
26	0.1642972341	0.1642972341	0.9552765416
27	0.159677717	0.159677717	0.956675143
28	0.1557209683	0.1557209683	0.9573108709
29	0.151996156	0.151996156	0.9577876669
30	0.1472868982	0.1472868982	0.9593769866
31	0.1434098181	0.1434098181	0.9596312778
32	0.1414348538	0.1414348538	0.9602352193
33	0.1388906716	0.1388906716	0.9610775588
34	0.1378024695	0.1378024695	0.9614272092
35	0.1348879948	0.1348879948	0.9622854418
36	0.1318558834	0.1318558834	0.9623490146
37	0.1292023136	0.1292023136	0.9636999364
38	0.1283025156	0.1283025156	0.9639224412
39	0.126116957	0.126116957	0.9644787031
40	0.1239603841	0.1239603841	0.9650826446
41	0.1224001079	0.1224001079	0.9654640814
42	0.1202956741	0.1202956741	0.9661633821
