iter	Passed	Remaining
0	963	3853110
1	1911	3821401
2	2897	3860505
3	3871	3867285
4	4832	3861187
5	5770	3841344
6	6697	3820304
7	7645	3815058
8	8589	3809102
9	9566	3816944
10	10546	3824640
11	11482	3816008
12	12467	3823833
13	13472	3835914
14	14430	3833772
15	15348	3821711
16	16312	3822001
17	17202	3805525
18	18084	3789132
19	18900	3761185
20	19801	3751967
21	20682	3739703
22	21640	3741958
23	22544	3734795
24	23500	3736564
25	24434	3734684
26	25366	3732672
27	26417	3747492
28	27405	3752726
29	28424	3761554
30	29330	3755220
31	30221	3747468
32	31037	3731044
33	31916	3722933
34	32856	3722221
35	33808	3722720
36	34689	3715495
37	35627	3714610
38	36505	3707625
39	37446	3707246
40	38334	3701608
41	39208	3694910
42	40161	3695782
43	41065	3692203
44	42015	3692690
45	42913	3688712
46	43852	3688290
47	44780	3686929
48	45661	3681804
49	46503	3673788
50	47354	3666740
51	48219	3660942
52	49020	3650669
53	49944	3649673
54	50770	3641599
55	51663	3638607
56	52523	3633365
57	53376	3627758
58	54256	3624130
59	55080	3616953
60	56010	3616810
61	56843	3610483
62	57728	3607543
63	58584	3602919
64	59457	3599473
65	60330	3596040
66	61186	3591730
67	62096	3590619
68	62926	3585007
69	63841	3584228
70	64678	3579177
71	65573	3577389
72	66424	3573279
73	67281	3569573
74	68161	3567094
75	68972	3561163
76	69918	3562197
77	70769	3558447
78	71667	3557046
79	72517	3553350
80	73431	3552797
81	74310	3550582
82	75168	3547389
83	76079	3546763
84	76908	3542331
85	77856	3543367
86	78751	3542021
87	79698	3542979
88	80597	3541772
89	81497	3540630
90	82392	3539269
91	83270	3537170
92	84214	3537922
93	85109	3536585
94	86078	3538287
95	86940	3535571
96	87907	3537151
97	88782	3534980
98	89709	3534897
99	90602	3533506
100	91513	3532778
101	92439	3532656
102	93346	3531767
103	94294	3532403
104	95201	3531539
105	96156	3532396
106	97020	3529923
107	97984	3531073
108	98883	3529876
109	99845	3530908
110	100736	3529421
111	101692	3530177
112	102613	3529705
113	103567	3530371
114	104508	3530563
115	105438	3530360
116	106393	3531001
117	107344	3531439
118	108326	3532896
119	109246	3532297
120	110206	3532995
121	111109	3531832
122	112103	3533551
123	113041	3533458
124	114012	3534386
125	114925	3533502
126	115896	3534373
127	116824	3533943
128	117793	3534715
129	118719	3534185
130	119683	3534783
131	120611	3534290
132	121574	3534807
133	122520	3534813
134	123466	3534801
135	124433	3535382
136	125379	3535340
137	126344	3535826
138	127279	3535434
139	128276	3536755
140	129208	3536280
141	130202	3537485
142	131133	3536949
143	132128	3538107
144	133059	3537539
145	134018	3537733
146	134951	3537185
147	135893	3536897
148	136879	3537740
149	137839	3537883
150	138787	3537715
151	139753	3537970
152	140718	3538203
153	141709	3539064
154	142680	3539408
155	143648	3539634
156	144620	3539988
157	145583	3540072
158	146561	3540522
159	147526	3540633
160	148515	3541303
161	149450	3540690
162	150426	3541029
163	151385	3540941
164	152342	3540810
165	153342	3541657
166	154289	3541278
167	155259	3541405
168	156211	3541094
169	157227	3542237
170	158170	3541719
171	159156	3542151
